n_urban,p_urban_pct,n_peripheral,p_peripheral_pct,simulations,alpha,statistical_power,type_ii_error
2304,3.3854166666666665,100,1.9047619047619049,2000,0.05,0.0435,0.9565
2304,3.3854166666666665,307,1.9047619047619049,2000,0.05,0.208,0.792
2304,3.3854166666666665,514,1.9047619047619049,2000,0.05,0.408,0.5920000000000001
2304,3.3854166666666665,721,1.9047619047619049,2000,0.05,0.5235,0.47650000000000003
2304,3.3854166666666665,928,1.9047619047619049,2000,0.05,0.6155,0.38449999999999995
2304,3.3854166666666665,1135,1.9047619047619049,2000,0.05,0.6805,0.3195
2304,3.3854166666666665,1342,1.9047619047619049,2000,0.05,0.7695,0.23050000000000004
2304,3.3854166666666665,1550,1.9047619047619049,2000,0.05,0.7885,0.21150000000000002
2304,3.3854166666666665,1757,1.9047619047619049,2000,0.05,0.8185,0.1815
2304,3.3854166666666665,1964,1.9047619047619049,2000,0.05,0.84,0.16000000000000003
2304,3.3854166666666665,2171,1.9047619047619049,2000,0.05,0.8555,0.14449999999999996
2304,3.3854166666666665,2378,1.9047619047619049,2000,0.05,0.875,0.125
2304,3.3854166666666665,2585,1.9047619047619049,2000,0.05,0.8895,0.11050000000000004
2304,3.3854166666666665,2792,1.9047619047619049,2000,0.05,0.9055,0.09450000000000003
2304,3.3854166666666665,3000,1.9047619047619049,2000,0.05,0.922,0.07799999999999996
